hotel_id,address,rank,phone,n_Excellent,n_VeryGood,n_Average,n_Poor,n_Terrible,amenities,hotel_class
1,"1933 Sukhumvit Road, Phra Khanong, Bangkok, Thailand",#232,02 332 7144,491,180,84,44,41,Free High Speed Internet (WiFi) | Free parking | Concierge | Meeting rooms | Multilingual Staff | Non-smoking hotel | Public Wifi | Air conditioning | Refrigerator in room | Non-smoking rooms,30
2,"372 Sri Ayutthaya Road, Thanon Phyathai Rajthevi, Bangkok 10400, Thailand",#2,,805,67,19,13,4,Pool | Room service | Free parking | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Airport transportation | Babysitting | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Family Rooms | Non-smoking rooms | Suites,50
3,"171 Soi Sukhumvit 11, Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",#205,,746,325,266,133,164,Restaurant | Pool | Room service | Fitness Center with Gym / Workout Room | Free parking | Bar/Lounge | Spa | Free Internet | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Wheelchair access | Air conditioning | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Suites,40
4,"333, Choet Wutthakat Road, Don Mueang, Don Mueang, Bangkok 10210, Thailand",#208,,1238,1685,581,153,84,Pool | Free parking | Restaurant | Room service | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Bar/Lounge | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Public Wifi | Sauna | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,40
5,"10 Sukhumvit Soi 15, Kloengtoey Nua, Wattana, Bangkok 10110, Thailand",#111,,1696,1398,315,76,39,Pool | Room service | Fitness Center with Gym / Workout Room | Restaurant | Free High Speed Internet (WiFi) | Free parking | Bar/Lounge | Spa | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,50
6,"1091/336 New Petchburi Road, Makkasan, Rajthevi, Bangkok 10400, Thailand",#183,,1372,621,330,167,199,Pool | Room service | Restaurant | Fitness Center with Gym / Workout Room | Free parking | Bar/Lounge | Free Internet | Spa | Airport transportation | Babysitting | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Hot Tub | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Paid Internet | Paid Wifi | Public Wifi | Sauna | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Suites,40
7,"9 Sukhumvit Soi 18, Sukhumvit Road, Klongteoy, Bangkok 10110, Thailand",#100,02 658 7000,1569,1033,189,40,16,Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Free parking | Pool | Room service | Restaurant | Bar/Lounge | Airport transportation | Banquet Room | Breakfast Available | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Outdoor pool | Public Wifi | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Non-smoking rooms | Smoking rooms available | Suites,40
8,"599-599/1 Lat Krabang Road, Lat Krabang, Bangkok 10520, Thailand",#204,,89,42,9,2,7,Pool | Room service | Free parking | Restaurant | Bar/Lounge | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Airport transportation | Banquet Room | Breakfast Available | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Public Wifi | Self-Serve Laundry | Wheelchair access | Air conditioning | Microwave | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Smoking rooms available | Suites,50
9,"28 Charoenkrung Soi 70, Wat Phraya Krai, Bang Kho Laem, Bangkok 10120, Thailand",#14,02 307 8888,7326,2406,422,83,44,Pool | Fitness Center with Gym / Workout Room | Room service | Restaurant | Free High Speed Internet (WiFi) | Free parking | Bar/Lounge | Spa | Airport transportation | Babysitting | Banquet Room | Breakfast Available | Business Center with Internet Access | Children Activities (Kid / Family Friendly) | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Wheelchair access | Air conditioning | Microwave | Minibar | Refrigerator in room | Family Rooms | Kitchenette | Non-smoking rooms | Suites,45
10,"257 Charoennakorn Road, Thonburi, None, Bangkok 10600, Thailand",#23,,2188,581,91,36,26,Pool | Room service | Free parking | Restaurant | Bar/Lounge | Spa | Free High Speed Internet (WiFi) | Fitness Center with Gym / Workout Room | Airport transportation | Banquet Room | Business Center with Internet Access | Concierge | Conference Facilities | Dry Cleaning | Laundry Service | Meeting rooms | Multilingual Staff | Non-smoking hotel | Outdoor pool | Public Wifi | Shuttle Bus Service | Wheelchair access | Air conditioning | Minibar | Refrigerator in room | Accessible rooms | Family Rooms | Non-smoking rooms | Suites,50
