hotel_id,user,home_town,stay_date,rate
1,Valentina Sierralta,,May 2019,5.0
1,Mary B,"Columbus, Ohio",May 2019,5.0
1,Mike992,"Toledo, Ohio",April 2019,5.0
1,Zuka Hys,,May 2019,5.0
1,Jaeng_9,"Bangkok, Thailand",April 2019,4.0
1,Kevin L,,April 2019,5.0
1,Catherine W,,March 2019,5.0
1,eyeyey0,"Singapore, Singapore",April 2019,4.0
1,Tom V,,April 2019,5.0
1,Wtifwtif,,March 2019,3.0
1,linkrus,Boston,January 2019,4.0
1,karoleigh,North Carolina,February 2019,5.0
1,dkm57,"Chicago, Illinois",November 2018,4.0
1,Yasia Cherevyk,,January 2019,3.0
1,gustav482,"Chiang Rai, Thailand",January 2019,3.0
1,Dianne H,"Anchorage, Alaska",January 2019,4.0
1,Leigh-Traveler2015,"Birmingham, Alabama",December 2018,5.0
1,77maple123,"Vancouver, Canada",December 2018,5.0
1,Krirk-kij P,"Yangon (Rangoon), Myanmar",November 2018,5.0
1,Mike992,"Toledo, Ohio",October 2018,5.0
1,kkk0ng,,October 2018,5.0
1,serindipit,"Alexandria, Virginia",October 2018,5.0
1,Zack L,"Hong Kong, China",October 2018,4.0
1,C.M.,,October 2018,3.0
1,Dr Havard S,"Canton, Massachusetts",August 2018,4.0
1,Timmyruss,"Bangkok, Thailand",September 2018,5.0
1,schulte_bkk,"Pattaya, Thailand",August 2018,4.0
1,A K,Australia,August 2018,4.0
1,MilwMichelle,"Milwaukee, Wisconsin",June 2018,5.0
1,Noi Sangwan,"Chiang Mai, Thailand",July 2018,3.0
1,MollyTMS,"Bangkok, Thailand",July 2018,2.0
1,vaitor,"Bangkok, Thailand",June 2018,2.0
1,Apichai L,"Bangkok, Thailand",June 2018,4.0
1,Marc-Philippe G,"Bangkok, Thailand",June 2018,5.0
1,Donald B,Toronto,May 2018,5.0
1,Wanmai_Neil,Phuket,April 2018,5.0
1,FangWinona,"Bangkok, Thailand",April 2018,4.0
1,brainardmog,"Goa, India",October 2017,4.0
