hotel_id,hotel_name,n_comment,rank_in_country,type,price,url
1,A Star Phulare Valley Resort Chiang Rai,241,#1 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,621",https://www.tripadvisor.com/Hotel_Review-g297920-d6002294-Reviews-A_Star_Phulare_Valley_Resort_Chiang_Rai-Chiang_Rai_Chiang_Rai_Province.html
2,The Riverie by Katathani,81,#2 Best Value of 565 places to stay in Chiang Rai,Hotel," 2,137",https://www.tripadvisor.com/Hotel_Review-g297920-d14943485-Reviews-The_Riverie_by_Katathani-Chiang_Rai_Chiang_Rai_Province.html
3,De Hug Hotel & Residence,153,#3 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,019",https://www.tripadvisor.com/Hotel_Review-g297920-d4995672-Reviews-De_Hug_Hotel_Residence-Chiang_Rai_Chiang_Rai_Province.html
4,Hi Chiangrai Hotel,299,#4 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,140",https://www.tripadvisor.com/Hotel_Review-g297920-d10767543-Reviews-Hi_Chiangrai_Hotel-Chiang_Rai_Chiang_Rai_Province.html
5,Nak Nakara,1220,#5 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,563",https://www.tripadvisor.com/Hotel_Review-g297920-d2578923-Reviews-Nak_Nakara-Chiang_Rai_Chiang_Rai_Province.html
6,"Le Meridien Chiang Rai Resort, Thailand",2653,#6 Best Value of 565 places to stay in Chiang Rai,Hotel," 2,340",https://www.tripadvisor.com/Hotel_Review-g297920-d1160168-Reviews-Le_Meridien_Chiang_Rai_Resort_Thailand-Chiang_Rai_Chiang_Rai_Province.html
7,Mora Boutique Hotel,46,#7 Best Value of 565 places to stay in Chiang Rai,Hotel," 3,144",https://www.tripadvisor.com/Hotel_Review-g303900-d15682630-Reviews-Mora_Boutique_Hotel-Wiang_Chiang_Rai_Chiang_Rai_Province.html
8,Le Patta,672,#8 Best Value of 565 places to stay in Chiang Rai,Hotel," 2,141",https://www.tripadvisor.com/Hotel_Review-g297920-d5043804-Reviews-Le_Patta-Chiang_Rai_Chiang_Rai_Province.html
9,Happynest Hostel,148,#9 Best Value of 565 places to stay in Chiang Rai,Hostel, 807,https://www.tripadvisor.com/Hotel_Review-g297920-d6380012-Reviews-Happynest_Hostel-Chiang_Rai_Chiang_Rai_Province.html
10,Baan Malai Guesthouse,231,#10 Best Value of 565 places to stay in Chiang Rai,Lodge, 590,https://www.tripadvisor.com/Hotel_Review-g297920-d3514508-Reviews-Baan_Malai_Guesthouse-Chiang_Rai_Chiang_Rai_Province.html
11,Mercy Hostel,313,#11 Best Value of 565 places to stay in Chiang Rai,Hostel, 612,https://www.tripadvisor.com/Hotel_Review-g297920-d7797811-Reviews-Mercy_Hostel-Chiang_Rai_Chiang_Rai_Province.html
12,The Legend Chiang Rai,1210,#12 Best Value of 565 places to stay in Chiang Rai,Hotel," 2,294",https://www.tripadvisor.com/Hotel_Review-g297920-d447534-Reviews-The_Legend_Chiang_Rai-Chiang_Rai_Chiang_Rai_Province.html
13,Orchids Guest House,175,#13 Best Value of 565 places to stay in Chiang Rai,Guest house, 439,https://www.tripadvisor.com/Hotel_Review-g297920-d1076819-Reviews-Orchids_Guest_House-Chiang_Rai_Chiang_Rai_Province.html
14,Baan Jaru,434,#14 Best Value of 565 places to stay in Chiang Rai,Specialty Hotel, 722,https://www.tripadvisor.com/Hotel_Review-g297920-d5967475-Reviews-Baan_Jaru-Chiang_Rai_Chiang_Rai_Province.html
15,Bura Resort,126,#15 Best Value of 565 places to stay in Chiang Rai,Small Hotel," 1,444",https://www.tripadvisor.com/Hotel_Review-g297920-d3184436-Reviews-Bura_Resort-Chiang_Rai_Chiang_Rai_Province.html
16,Maryo Resort,302,#16 Best Value of 565 places to stay in Chiang Rai,Hotel, 935,https://www.tripadvisor.com/Hotel_Review-g297920-d8784969-Reviews-Maryo_Resort-Chiang_Rai_Chiang_Rai_Province.html
17,Na Rak O Resort,290,#17 Best Value of 565 places to stay in Chiang Rai,Lodge, 552,https://www.tripadvisor.com/Hotel_Review-g297920-d6936440-Reviews-Na_Rak_O_Resort-Chiang_Rai_Chiang_Rai_Province.html
18,The Imperial River House Resort,515,#18 Best Value of 565 places to stay in Chiang Rai,Hotel," 2,209",https://www.tripadvisor.com/Hotel_Review-g297920-d504939-Reviews-The_Imperial_River_House_Resort-Chiang_Rai_Chiang_Rai_Province.html
19,Bambuh Boutique Homestay,164,#19 Best Value of 565 places to stay in Chiang Rai,Bed and Breakfast," 1,127",https://www.tripadvisor.com/Hotel_Review-g297920-d7809405-Reviews-Bambuh_Boutique_Homestay-Chiang_Rai_Chiang_Rai_Province.html
20,Grandma Kaew House,216,#20 Best Value of 565 places to stay in Chiang Rai,Guest house, 467,https://www.tripadvisor.com/Hotel_Review-g297920-d4340535-Reviews-Grandma_Kaew_House-Chiang_Rai_Chiang_Rai_Province.html
21,Connect Hostel,74,#21 Best Value of 565 places to stay in Chiang Rai,Hostel, 706,https://www.tripadvisor.com/Hotel_Review-g297920-d12451457-Reviews-Connect_Hostel-Chiang_Rai_Chiang_Rai_Province.html
22,Baan Norn Plearn,129,#22 Best Value of 565 places to stay in Chiang Rai,Guest house, 614,https://www.tripadvisor.com/Hotel_Review-g297920-d2536186-Reviews-Baan_Norn_Plearn-Chiang_Rai_Chiang_Rai_Province.html
23,FUN-D Hostel,173,#23 Best Value of 565 places to stay in Chiang Rai,Hostel, 510,https://www.tripadvisor.com/Hotel_Review-g297920-d4262279-Reviews-FUN_D_Hostel-Chiang_Rai_Chiang_Rai_Province.html
24,Lanjia Lodge,114,#24 Best Value of 565 places to stay in Chiang Rai,Lodge," 4,477",https://www.tripadvisor.com/Hotel_Review-g297920-d1227704-Reviews-Lanjia_Lodge-Chiang_Rai_Chiang_Rai_Province.html
25,HomestayChiangrai,337,#25 Best Value of 565 places to stay in Chiang Rai,Hostel," 1,181",https://www.tripadvisor.com/Hotel_Review-g297920-d1493926-Reviews-HomestayChiangrai-Chiang_Rai_Chiang_Rai_Province.html
26,Laluna Hotel and Resort,1041,#26 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,123",https://www.tripadvisor.com/Hotel_Review-g297920-d606955-Reviews-Laluna_Hotel_and_Resort-Chiang_Rai_Chiang_Rai_Province.html
27,Chiang Rai Hotel,127,#27 Best Value of 565 places to stay in Chiang Rai,Inn, 457,https://www.tripadvisor.com/Hotel_Review-g297920-d1402800-Reviews-Chiang_Rai_Hotel-Chiang_Rai_Chiang_Rai_Province.html
28,Chayadol Boutique Resort,164,#28 Best Value of 565 places to stay in Chiang Rai,Small Hotel, 953,https://www.tripadvisor.com/Hotel_Review-g297920-d3668347-Reviews-Chayadol_Boutique_Resort-Chiang_Rai_Chiang_Rai_Province.html
29,Huen Chan Thip,132,#29 Best Value of 565 places to stay in Chiang Rai,Small Hotel, 680,https://www.tripadvisor.com/Hotel_Review-g297920-d7218408-Reviews-Huen_Chan_Thip-Chiang_Rai_Chiang_Rai_Province.html
30,Jansupar Court,68,#30 Best Value of 565 places to stay in Chiang Rai,Condominium, 421,https://www.tripadvisor.com/Hotel_Review-g297920-d6481652-Reviews-Jansupar_Court-Chiang_Rai_Chiang_Rai_Province.html
31,Grand Vista Hotel Chiangrai,103,#31 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,563",https://www.tripadvisor.com/Hotel_Review-g297920-d9761978-Reviews-Grand_Vista_Hotel_Chiangrai-Chiang_Rai_Chiang_Rai_Province.html
32,Amarin Resort,104,#32 Best Value of 565 places to stay in Chiang Rai,Hotel, 788,https://www.tripadvisor.com/Hotel_Review-g297920-d1597610-Reviews-Amarin_Resort-Chiang_Rai_Chiang_Rai_Province.html
33,PAN KLED VILLA eco hill resort,63,#33 Best Value of 565 places to stay in Chiang Rai,Hotel, 662,https://www.tripadvisor.com/Hotel_Review-g297920-d1230503-Reviews-PAN_KLED_VILLA_eco_hill_resort-Chiang_Rai_Chiang_Rai_Province.html
34,Nakaraj Princess Chiangrai B&B,52,#34 Best Value of 565 places to stay in Chiang Rai,Bed and Breakfast," 1,189",https://www.tripadvisor.com/Hotel_Review-g297920-d12544412-Reviews-Nakaraj_Princess_Chiangrai_B_B-Chiang_Rai_Chiang_Rai_Province.html
35,Chian House,43,#35 Best Value of 565 places to stay in Chiang Rai,Lodge, 262,https://www.tripadvisor.com/Hotel_Review-g297920-d2618512-Reviews-Chian_House-Chiang_Rai_Chiang_Rai_Province.html
36,Wiang Inn Hotel,736,#36 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,359",https://www.tripadvisor.com/Hotel_Review-g297920-d447336-Reviews-Wiang_Inn_Hotel-Chiang_Rai_Chiang_Rai_Province.html
37,Ben Guesthouse,234,#37 Best Value of 565 places to stay in Chiang Rai,Hotel, 425,https://www.tripadvisor.com/Hotel_Review-g297920-d1230500-Reviews-Ben_Guesthouse-Chiang_Rai_Chiang_Rai_Province.html
38,Rasa Boutique Hotel,139,#38 Best Value of 565 places to stay in Chiang Rai,Lodge, 903,https://www.tripadvisor.com/Hotel_Review-g297920-d3181981-Reviews-Rasa_Boutique_Hotel-Chiang_Rai_Chiang_Rai_Province.html
39,Baan Bua Guesthouse,253,#39 Best Value of 565 places to stay in Chiang Rai,Guest house, 272,https://www.tripadvisor.com/Hotel_Review-g297920-d655436-Reviews-Baan_Bua_Guesthouse-Chiang_Rai_Chiang_Rai_Province.html
40,The Rama Residence,32,#40 Best Value of 565 places to stay in Chiang Rai,Condominium, 637,https://www.tripadvisor.com/Hotel_Review-g297920-d7808152-Reviews-The_Rama_Residence-Chiang_Rai_Chiang_Rai_Province.html
41,Spinomad Hostel,44,#41 Best Value of 565 places to stay in Chiang Rai,Hostel, 723,https://www.tripadvisor.com/Hotel_Review-g297920-d14933403-Reviews-Spinomad_Hostel-Chiang_Rai_Chiang_Rai_Province.html
42,Teak Garden Spa Resort,211,#42 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,189",https://www.tripadvisor.com/Hotel_Review-g297920-d607472-Reviews-Teak_Garden_Spa_Resort-Chiang_Rai_Chiang_Rai_Province.html
43,Baan Warabordee,132,#43 Best Value of 565 places to stay in Chiang Rai,Guest house, 552,https://www.tripadvisor.com/Hotel_Review-g297920-d2055817-Reviews-Baan_Warabordee-Chiang_Rai_Chiang_Rai_Province.html
44,Baan Soontree Resort,102,#44 Best Value of 565 places to stay in Chiang Rai,Small Hotel, 808,https://www.tripadvisor.com/Hotel_Review-g297920-d2090312-Reviews-Baan_Soontree_Resort-Chiang_Rai_Chiang_Rai_Province.html
45,Saikaew Resort,52,#45 Best Value of 565 places to stay in Chiang Rai,Small Hotel, 935,https://www.tripadvisor.com/Hotel_Review-g297920-d4283008-Reviews-Saikaew_Resort-Chiang_Rai_Chiang_Rai_Province.html
46,Le Terrarium Hotel,33,#46 Best Value of 565 places to stay in Chiang Rai,Specialty Hotel, 761,https://www.tripadvisor.com/Hotel_Review-g297920-d11445137-Reviews-Le_Terrarium_Hotel-Chiang_Rai_Chiang_Rai_Province.html
47,Chiangrai Green Park Resort,77,#47 Best Value of 565 places to stay in Chiang Rai,Lodge, 586,https://www.tripadvisor.com/Hotel_Review-g297920-d6018111-Reviews-Chiangrai_Green_Park_Resort-Chiang_Rai_Chiang_Rai_Province.html
48,Rinlada House,44,#48 Best Value of 565 places to stay in Chiang Rai,Lodge, 552,https://www.tripadvisor.com/Hotel_Review-g297920-d5967366-Reviews-Rinlada_House-Chiang_Rai_Chiang_Rai_Province.html
49,Baan Bua Homestay,126,#49 Best Value of 565 places to stay in Chiang Rai,Guest house, 493,https://www.tripadvisor.com/Hotel_Review-g297920-d1932395-Reviews-Baan_Bua_Homestay-Chiang_Rai_Chiang_Rai_Province.html
50,Golden Pine Resort,145,#50 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,172",https://www.tripadvisor.com/Hotel_Review-g297920-d308786-Reviews-Golden_Pine_Resort-Chiang_Rai_Chiang_Rai_Province.html
51,Tiamo Chiangrai Central Guest House,42,#51 Best Value of 565 places to stay in Chiang Rai,Lodge, 470,https://www.tripadvisor.com/Hotel_Review-g297920-d11538679-Reviews-Tiamo_Chiangrai_Central_Guest_House-Chiang_Rai_Chiang_Rai_Province.html
52,Norn Nung Len Cafe & Hostel,22,#52 Best Value of 565 places to stay in Chiang Rai,Hostel, 505,https://www.tripadvisor.com/Hotel_Review-g297920-d10785024-Reviews-Norn_Nung_Len_Cafe_Hostel-Chiang_Rai_Chiang_Rai_Province.html
53,Baan Baramee,73,#53 Best Value of 565 places to stay in Chiang Rai,Small Hotel, 496,https://www.tripadvisor.com/Hotel_Review-g297920-d4106925-Reviews-Baan_Baramee-Chiang_Rai_Chiang_Rai_Province.html
54,Na Na Doo Homestay,29,#54 Best Value of 565 places to stay in Chiang Rai,Lodge," 1,032",https://www.tripadvisor.com/Hotel_Review-g297920-d11761987-Reviews-Na_Na_Doo_Homestay-Chiang_Rai_Chiang_Rai_Province.html
55,Sook Cafe and Hostel,32,#55 Best Value of 565 places to stay in Chiang Rai,Hostel, 590,https://www.tripadvisor.com/Hotel_Review-g297920-d12417567-Reviews-Sook_Cafe_and_Hostel-Chiang_Rai_Chiang_Rai_Province.html
56,Baan Rub Aroon,108,#56 Best Value of 565 places to stay in Chiang Rai,Bed and Breakfast, 607,https://www.tripadvisor.com/Hotel_Review-g297920-d1594782-Reviews-Baan_Rub_Aroon-Chiang_Rai_Chiang_Rai_Province.html
57,Homey Dormy Chiangrai,66,#57 Best Value of 565 places to stay in Chiang Rai,Inn, 900,https://www.tripadvisor.com/Hotel_Review-g297920-d7645568-Reviews-Homey_Dormy_Chiangrai-Chiang_Rai_Chiang_Rai_Province.html
58,Kanlaya Place,74,#58 Best Value of 565 places to stay in Chiang Rai,Lodge, 935,https://www.tripadvisor.com/Hotel_Review-g297920-d4046689-Reviews-Kanlaya_Place-Chiang_Rai_Chiang_Rai_Province.html
59,Chat Guest house,142,#59 Best Value of 565 places to stay in Chiang Rai,Guest house, 318,https://www.tripadvisor.com/Hotel_Review-g297920-d1231676-Reviews-Chat_Guest_house-Chiang_Rai_Chiang_Rai_Province.html
60,Banlomnow,39,#60 Best Value of 565 places to stay in Chiang Rai,Small Hotel," 1,028",https://www.tripadvisor.com/Hotel_Review-g297920-d6440835-Reviews-Banlomnow-Chiang_Rai_Chiang_Rai_Province.html
61,B2 Chiang Rai,178,#61 Best Value of 565 places to stay in Chiang Rai,Hotel, 597,https://www.tripadvisor.com/Hotel_Review-g297920-d2422244-Reviews-B2_Chiang_Rai-Chiang_Rai_Chiang_Rai_Province.html
62,Meesuk Residence,30,#62 Best Value of 565 places to stay in Chiang Rai,Hotel, 505,https://www.tripadvisor.com/Hotel_Review-g297920-d7071856-Reviews-Meesuk_Residence-Chiang_Rai_Chiang_Rai_Province.html
63,Pah Hotel,10,#63 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,699",https://www.tripadvisor.com/Hotel_Review-g297920-d15221349-Reviews-Pah_Hotel-Chiang_Rai_Chiang_Rai_Province.html
64,Bed And Breakfast Chiang Rai,15,#64 Best Value of 565 places to stay in Chiang Rai,Bed and Breakfast, 782,https://www.tripadvisor.com/Hotel_Review-g297920-d3909635-Reviews-Bed_And_Breakfast_Chiang_Rai-Chiang_Rai_Chiang_Rai_Province.html
65,Phufa Waree Chiangrai Residence,25,#65 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,472",https://www.tripadvisor.com/Hotel_Review-g297920-d3567397-Reviews-Phufa_Waree_Chiangrai_Residence-Chiang_Rai_Chiang_Rai_Province.html
66,La Vie En Rose Hotel,85,#66 Best Value of 565 places to stay in Chiang Rai,Small Hotel," 1,105",https://www.tripadvisor.com/Hotel_Review-g297920-d1952982-Reviews-La_Vie_En_Rose_Hotel-Chiang_Rai_Chiang_Rai_Province.html
67,The Mantrini Boutique Resort,230,#67 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,427",https://www.tripadvisor.com/Hotel_Review-g297920-d637643-Reviews-The_Mantrini_Boutique_Resort-Chiang_Rai_Chiang_Rai_Province.html
68,Nai Suan Bed and Breakfast,28,#68 Best Value of 565 places to stay in Chiang Rai,Bed and Breakfast," 1,338",https://www.tripadvisor.com/Hotel_Review-g297920-d9842446-Reviews-Nai_Suan_Bed_and_Breakfast-Chiang_Rai_Chiang_Rai_Province.html
69,Wangcome,157,#69 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,590",https://www.tripadvisor.com/Hotel_Review-g297920-d447344-Reviews-Wangcome-Chiang_Rai_Chiang_Rai_Province.html
70,Tong Siam Hostel,9,#70 Best Value of 565 places to stay in Chiang Rai,Hostel, 607,https://www.tripadvisor.com/Hotel_Review-g297920-d15116743-Reviews-Tong_Siam_Hostel-Chiang_Rai_Chiang_Rai_Province.html
71,Phowadol Resort and Spa,299,#71 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,274",https://www.tripadvisor.com/Hotel_Review-g297920-d648700-Reviews-Phowadol_Resort_and_Spa-Chiang_Rai_Chiang_Rai_Province.html
72,Kong Garden View Resort Chiang Rai,55,#72 Best Value of 565 places to stay in Chiang Rai,Hotel, 595,https://www.tripadvisor.com/Hotel_Review-g297920-d2491301-Reviews-Kong_Garden_View_Resort_Chiang_Rai-Chiang_Rai_Chiang_Rai_Province.html
73,Chezmoi Homestay,15,#73 Best Value of 565 places to stay in Chiang Rai,Guest house, 467,https://www.tripadvisor.com/Hotel_Review-g297920-d3138433-Reviews-Chezmoi_Homestay-Chiang_Rai_Chiang_Rai_Province.html
74,Wilacha Hotel,27,#74 Best Value of 565 places to stay in Chiang Rai,Small Hotel, 850,https://www.tripadvisor.com/Hotel_Review-g297920-d4061883-Reviews-Wilacha_Hotel-Chiang_Rai_Chiang_Rai_Province.html
75,Stay In Hostel,13,#75 Best Value of 565 places to stay in Chiang Rai,Hostel, 459,https://www.tripadvisor.com/Hotel_Review-g297920-d15309258-Reviews-Stay_In_Hostel-Chiang_Rai_Chiang_Rai_Province.html
76,Sirimunta Hotel Chiang Rai Suite & Residence,17,#76 Best Value of 565 places to stay in Chiang Rai,Lodge, 619,https://www.tripadvisor.com/Hotel_Review-g297920-d12071585-Reviews-Sirimunta_Hotel_Chiang_Rai_Suite_Residence-Chiang_Rai_Chiang_Rai_Province.html
77,Tourist Inn,86,#77 Best Value of 565 places to stay in Chiang Rai,Hotel, 490,https://www.tripadvisor.com/Hotel_Review-g297920-d1230278-Reviews-Tourist_Inn-Chiang_Rai_Chiang_Rai_Province.html
78,Baansiri Chiangrai,38,#78 Best Value of 565 places to stay in Chiang Rai,Inn, 425,https://www.tripadvisor.com/Hotel_Review-g297920-d10036011-Reviews-Baansiri_Chiangrai-Chiang_Rai_Chiang_Rai_Province.html
79,Kham Thana Hotel,103,#79 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,954",https://www.tripadvisor.com/Hotel_Review-g297920-d3916171-Reviews-Kham_Thana_Hotel-Chiang_Rai_Chiang_Rai_Province.html
80,Oh My Place,23,#80 Best Value of 565 places to stay in Chiang Rai,Bed and Breakfast, 990,https://www.tripadvisor.com/Hotel_Review-g297920-d13283175-Reviews-Oh_My_Place-Chiang_Rai_Chiang_Rai_Province.html
81,A Residence,38,#81 Best Value of 565 places to stay in Chiang Rai,Condominium, 501,https://www.tripadvisor.com/Hotel_Review-g297920-d6772850-Reviews-A_Residence-Chiang_Rai_Chiang_Rai_Province.html
82,Baan Mai Kradan,20,#82 Best Value of 565 places to stay in Chiang Rai,Hostel, 746,https://www.tripadvisor.com/Hotel_Review-g303900-d12997238-Reviews-Baan_Mai_Kradan-Wiang_Chiang_Rai_Chiang_Rai_Province.html
83,Kaew Place,29,#83 Best Value of 565 places to stay in Chiang Rai,Lodge, 399,https://www.tripadvisor.com/Hotel_Review-g297920-d7246344-Reviews-Kaew_Place-Chiang_Rai_Chiang_Rai_Province.html
84,Sleepy House Chiang Rai,28,#84 Best Value of 565 places to stay in Chiang Rai,Guest house, 888,https://www.tripadvisor.com/Hotel_Review-g297920-d13390561-Reviews-Sleepy_House_Chiang_Rai-Chiang_Rai_Chiang_Rai_Province.html
85,Bann Tawan Hostel & Spa,16,#85 Best Value of 565 places to stay in Chiang Rai,Hostel, 880,https://www.tripadvisor.com/Hotel_Review-g297920-d13362845-Reviews-Bann_Tawan_Hostel_Spa-Chiang_Rai_Chiang_Rai_Province.html
86,DoiTung Lodge,47,#86 Best Value of 565 places to stay in Chiang Rai,Hotel," 2,430",https://www.tripadvisor.com/Hotel_Review-g297920-d505175-Reviews-DoiTung_Lodge-Chiang_Rai_Chiang_Rai_Province.html
87,Gita's House,22,#87 Best Value of 565 places to stay in Chiang Rai,Inn, 748,https://www.tripadvisor.com/Hotel_Review-g297920-d12002075-Reviews-Gita_s_House-Chiang_Rai_Chiang_Rai_Province.html
88,Baanbaramee Guesthouse,69,#88 Best Value of 565 places to stay in Chiang Rai,Guest house, 580,https://www.tripadvisor.com/Hotel_Review-g297920-d3575946-Reviews-Baanbaramee_Guesthouse-Chiang_Rai_Chiang_Rai_Province.html
89,Baan Nukanong Guesthouse,56,#89 Best Value of 565 places to stay in Chiang Rai,Small Hotel, 289,https://www.tripadvisor.com/Hotel_Review-g297920-d3253475-Reviews-Baan_Nukanong_Guesthouse-Chiang_Rai_Chiang_Rai_Province.html
90,Chiang Khong Hill,17,#90 Best Value of 565 places to stay in Chiang Rai,Lodge, 935,https://www.tripadvisor.com/Hotel_Review-g297920-d7767205-Reviews-Chiang_Khong_Hill-Chiang_Rai_Chiang_Rai_Province.html
91,Diamond Park Inn Chiangrai Resort,132,#91 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,047",https://www.tripadvisor.com/Hotel_Review-g297920-d1722860-Reviews-Diamond_Park_Inn_Chiangrai_Resort-Chiang_Rai_Chiang_Rai_Province.html
92,Hop Inn Chiang Rai,13,#92 Best Value of 565 places to stay in Chiang Rai,Hotel, 598,https://www.tripadvisor.com/Hotel_Review-g297920-d12418031-Reviews-Hop_Inn_Chiang_Rai-Chiang_Rai_Chiang_Rai_Province.html
93,The North Hotel,145,#93 Best Value of 565 places to stay in Chiang Rai,Hotel, 331,https://www.tripadvisor.com/Hotel_Review-g297920-d1102268-Reviews-The_North_Hotel-Chiang_Rai_Chiang_Rai_Province.html
94,Sabai @ Chiang Rai Hotel,5,#94 Best Value of 565 places to stay in Chiang Rai,Specialty Hotel, 571,https://www.tripadvisor.com/Hotel_Review-g297920-d13358100-Reviews-Sabai_Chiang_Rai_Hotel-Chiang_Rai_Chiang_Rai_Province.html
95,Mech Mansion,13,#95 Best Value of 565 places to stay in Chiang Rai,Lodge, 425,https://www.tripadvisor.com/Hotel_Review-g297920-d6930267-Reviews-Mech_Mansion-Chiang_Rai_Chiang_Rai_Province.html
96,To the Moon Bed & Breakfast,4,#96 Best Value of 565 places to stay in Chiang Rai,Bed and Breakfast, 875,https://www.tripadvisor.com/Hotel_Review-g297920-d10840955-Reviews-To_the_Moon_Bed_Breakfast-Chiang_Rai_Chiang_Rai_Province.html
97,Wangcome,157,#97 Best Value of 565 places to stay in Chiang Rai,Hotel," 1,590",https://www.tripadvisor.com/Hotel_Review-g297920-d447344-Reviews-Wangcome-Chiang_Rai_Chiang_Rai_Province.html
98,Tong Siam Hostel,9,#98 Best Value of 565 places to stay in Chiang Rai,Hostel, 607,https://www.tripadvisor.com/Hotel_Review-g297920-d15116743-Reviews-Tong_Siam_Hostel-Chiang_Rai_Chiang_Rai_Province.html
99,Baannukanong,10,#99 Best Value of 565 places to stay in Chiang Rai,Small Hotel, 259,https://www.tripadvisor.com/Hotel_Review-g297920-d3136106-Reviews-Baannukanong-Chiang_Rai_Chiang_Rai_Province.html
100,I-House Chiangrai,31,#100 Best Value of 565 places to stay in Chiang Rai,Small Hotel, 448,https://www.tripadvisor.com/Hotel_Review-g297920-d3181802-Reviews-I_House_Chiangrai-Chiang_Rai_Chiang_Rai_Province.html
